CURVE_A,CURVE_B,OVERLAPPING_SAMPLES,RAW_VALUE_CORRELATION,LOG10_CORRELATION,MEAN_ABSOLUTE_DIFFERENCE,MEDIAN_RELATIVE_DIFFERENCE_PERCENT,MAXIMUM_ABSOLUTE_DIFFERENCE,EXACT_DUPLICATE,NEAR_DUPLICATE,RELATIONSHIP
RPCEHM,RT,33810,1.0,1.0,0.0,0.0,0.0,True,True,Exact duplicate
RD,RPCELM,33709,0.9999999999527948,0.9999999998750937,1.8808033462871263e-06,0.0,0.0001000000000015433,False,True,Near duplicate
RM,RPCEHM,33709,0.9999999995909654,0.9999999997758323,4.313388115933641e-06,0.0,0.005899999999996908,False,False,Effectively the same response
RM,RT,33709,0.9999999995909654,0.9999999997758323,4.313388115933641e-06,0.0,0.005899999999996908,False,False,Effectively the same response
RD,RPCEHM,33709,0.7109764329155454,0.9864206960821036,0.11879557684891276,4.187007134810376,194.13750000000002,False,False,Strongly related response
RD,RT,33709,0.7109764329155454,0.9864206960821036,0.11879557684891276,4.187007134810376,194.13750000000002,False,False,Strongly related response
RD,RM,33709,0.7109717645805778,0.9864205973323669,0.11879619982793914,4.1872289516973105,194.1434,False,False,Strongly related response
RM,RPCELM,33709,0.7109713865646199,0.9864205220924863,0.11879653208341985,4.1872289516973105,194.14350000000002,False,False,Strongly related response
RACEHM,RD,33709,0.9929678270111351,0.9828653032217077,0.11319561838084785,6.2091503267973875,4.0488,False,False,Strongly related response
RACEHM,RPCELM,33810,0.9924367781334531,0.9796759978900736,0.11410784383318545,6.228172747967268,6.4129,False,False,Strongly related response
RACELM,RD,33709,0.12470851315247894,0.977901668530433,0.20507618736835856,5.159645502003155,1098.423,False,False,Strongly related response
RACEHM,RACELM,33810,0.12864068010778335,0.9776076659667333,0.20755828453120376,6.067093091425624,1098.0206,False,False,Strongly related response
RACELM,RPCELM,33810,0.12481388700250484,0.9726980951132705,0.20595895297249334,5.17838676642409,1098.423,False,False,Strongly related response
RPCEHM,RPCELM,33810,-0.004431662740214357,0.9721025202101923,5.889498586217095,4.20418669635211,97542.8526,False,False,Strongly related response
RPCELM,RT,33810,-0.004431662740214357,0.9721025202101923,5.889498586217095,4.20418669635211,97542.8526,False,False,Strongly related response
RACEHM,RM,33709,0.6906422361069947,0.9686780887616494,0.1781941380640185,7.257248819959529,195.7825,False,False,Strongly related response
RACEHM,RPCEHM,33810,0.0191857618550102,0.9605480706712396,5.94810663117421,7.286473704760316,97536.4397,False,False,Strongly related response
RACEHM,RT,33810,0.0191857618550102,0.9605480706712396,5.94810663117421,7.286473704760316,97536.4397,False,False,Strongly related response
RACELM,RM,33709,0.08552772561597084,0.9503989894298699,0.2982123616838233,6.632370399683427,1098.2368,False,False,Strongly related response
RACELM,RPCEHM,33810,-0.0008710822321132316,0.9343104566622762,6.068509837326235,6.651137944525327,97543.3183,False,False,Different response
RACELM,RT,33810,-0.0008710822321132316,0.9343104566622762,6.068509837326235,6.651137944525327,97543.3183,False,False,Different response
