UNCERTAINTY_TYPE,LABEL,SEGMENT,GROSS_INTERVAL_M,NET_SAND_M,NET_RESERVOIR_M,POSSIBLE_NET_PAY_M,NTG_NET_SAND_OVER_GROSS,PCT_OF_GROSS_POSSIBLE_PAY,MATRIX_DENSITY,RW,VSH_CUTOFF,PHIE_CUTOFF,SW_CUTOFF,NOTE
"Cutoff scenario (VSH/PHIE/SW), matrix density fixed at 2.65",Conservative,Clean,335.0,324.1,62.3,1.1,0.9675,0.3283582089552239,2.65,0.0085,0.4,0.08,0.4,
"Cutoff scenario (VSH/PHIE/SW), matrix density fixed at 2.65",Conservative,Shalier,165.0,13.5,0.0,0.0,0.0818,0.0,2.65,0.0085,0.4,0.08,0.4,
"Cutoff scenario (VSH/PHIE/SW), matrix density fixed at 2.65",Conservative,Whole interval (combined),500.0,337.6,62.3,1.1,0.6752,0.22,2.65,0.0085,0.4,0.08,0.4,
"Cutoff scenario (VSH/PHIE/SW), matrix density fixed at 2.65",Base,Clean,335.0,329.8,158.0,11.4,0.9845,3.4029850746268657,2.65,0.0085,0.5,0.05,0.5,
"Cutoff scenario (VSH/PHIE/SW), matrix density fixed at 2.65",Base,Shalier,165.0,31.8,0.0,0.0,0.1927,0.0,2.65,0.0085,0.5,0.05,0.5,
"Cutoff scenario (VSH/PHIE/SW), matrix density fixed at 2.65",Base,Whole interval (combined),500.0,361.6,158.0,11.4,0.7232,2.2800000000000002,2.65,0.0085,0.5,0.05,0.5,
"Cutoff scenario (VSH/PHIE/SW), matrix density fixed at 2.65",Optimistic,Clean,335.0,332.5,246.6,33.7,0.9925,10.059701492537314,2.65,0.0085,0.6,0.03,0.6,
"Cutoff scenario (VSH/PHIE/SW), matrix density fixed at 2.65",Optimistic,Shalier,165.0,55.0,2.5,0.0,0.3333,0.0,2.65,0.0085,0.6,0.03,0.6,
"Cutoff scenario (VSH/PHIE/SW), matrix density fixed at 2.65",Optimistic,Whole interval (combined),500.0,387.5,249.1,33.7,0.775,6.74,2.65,0.0085,0.6,0.03,0.6,
"Matrix density, Base-case cutoffs fixed (VSH<=0.5, PHIE>=0.05, SW<=0.5)",2.65,Clean,335.0,329.8,158.0,11.4,0.9845,3.4029850746268657,2.65,0.0085,0.5,0.05,0.5,
"Matrix density, Base-case cutoffs fixed (VSH<=0.5, PHIE>=0.05, SW<=0.5)",2.65,Shalier,165.0,31.8,0.0,0.0,0.1927,0.0,2.65,0.0085,0.5,0.05,0.5,
"Matrix density, Base-case cutoffs fixed (VSH<=0.5, PHIE>=0.05, SW<=0.5)",2.65,Whole interval (combined),500.0,361.6,158.0,11.4,0.7232,2.2800000000000002,2.65,0.0085,0.5,0.05,0.5,
"Matrix density, Base-case cutoffs fixed (VSH<=0.5, PHIE>=0.05, SW<=0.5)",2.68,Clean,335.0,329.8,222.3,20.2,0.9845,6.029850746268656,2.68,0.0095,0.5,0.05,0.5,
"Matrix density, Base-case cutoffs fixed (VSH<=0.5, PHIE>=0.05, SW<=0.5)",2.68,Shalier,165.0,31.8,0.0,0.0,0.1927,0.0,2.68,0.0095,0.5,0.05,0.5,
"Matrix density, Base-case cutoffs fixed (VSH<=0.5, PHIE>=0.05, SW<=0.5)",2.68,Whole interval (combined),500.0,361.6,222.3,20.2,0.7232,4.04,2.68,0.0095,0.5,0.05,0.5,
"Matrix density, Base-case cutoffs fixed (VSH<=0.5, PHIE>=0.05, SW<=0.5)",2.71,Clean,335.0,329.8,283.5,40.9,0.9845,12.208955223880597,2.71,0.0104,0.5,0.05,0.5,
"Matrix density, Base-case cutoffs fixed (VSH<=0.5, PHIE>=0.05, SW<=0.5)",2.71,Shalier,165.0,31.8,2.4,0.0,0.1927,0.0,2.71,0.0104,0.5,0.05,0.5,
"Matrix density, Base-case cutoffs fixed (VSH<=0.5, PHIE>=0.05, SW<=0.5)",2.71,Whole interval (combined),500.0,361.6,285.9,40.9,0.7232,8.18,2.71,0.0104,0.5,0.05,0.5,
Note,,,,,,,,,,,,,,"Cutoff sensitivity and matrix-density sensitivity were tested independently, each holding the other fixed. A fully combined worst-case/best-case grid was not built; the true combined range is likely somewhat wider than either single-axis test shown here."
